time,open,high,low,close,volume
1728547200000,2394.5,2407.2,2366.71,2405.5,118166.87
1728561600000,2405.5,2408.37,2368.03,2403.79,249235.27
1728576000000,2403.79,2420.43,2328.95,2365.75,353072.63
1728590400000,2365.75,2385.86,2357.18,2385.38,76938.86
1728604800000,2385.38,2416.11,2380.86,2409.94,92766.28
1728619200000,2409.94,2417.4,2402.03,2406.4,57700.21
1728633600000,2406.4,2426.76,2401.09,2416.51,93821.25
1728648000000,2416.51,2453.64,2413.26,2442.87,234084.24
1728662400000,2442.87,2472.14,2431.94,2458.6,172085.62
1728676800000,2458.6,2461.56,2432.79,2438.58,103891.22
1728691200000,2438.58,2450.4,2432.52,2437.9,53169.8
1728705600000,2437.9,2451.56,2437.9,2445.46,38142.0
1728720000000,2445.46,2467.0,2441.37,2451.33,52451.11
1728734400000,2451.33,2483.4,2447.24,2471.8,96259.59
1728748800000,2471.8,2486.0,2464.91,2471.55,54254.74
1728763200000,2471.55,2489.88,2467.87,2475.21,30782.01
1728777600000,2475.21,2484.59,2452.2,2456.99,66889.78
1728792000000,2456.99,2468.78,2456.13,2464.18,30162.45
1728806400000,2464.18,2470.98,2456.38,2457.13,41883.35
1728820800000,2457.13,2469.54,2435.03,2439.16,99362.56
1728835200000,2439.16,2462.1,2436.4,2456.95,69103.55
1728849600000,2456.95,2483.88,2451.94,2467.79,83018.16
1728864000000,2467.79,2524.93,2442.0,2520.31,140855.23
1728878400000,2520.31,2548.58,2510.55,2534.99,258537.24
1728892800000,2534.99,2546.99,2518.44,2537.14,123983.22
1728907200000,2537.14,2642.67,2533.58,2634.99,389849.74
1728921600000,2634.99,2640.18,2614.0,2619.28,122634.58
1728936000000,2619.28,2653.67,2614.93,2629.0,119822.73
1728950400000,2629.0,2636.99,2608.41,2612.28,83062.78
1728964800000,2612.28,2623.65,2588.9,2615.0,126702.98
1728979200000,2615.0,2622.11,2577.38,2585.7,107609.03
1728993600000,2585.7,2688.91,2535.21,2572.53,691324.44
1729008000000,2572.53,2619.61,2570.31,2591.32,177119.25
1729022400000,2591.32,2608.59,2560.83,2606.32,110682.4
1729036800000,2606.32,2630.0,2587.35,2616.24,77736.35
1729051200000,2616.24,2623.99,2597.75,2606.29,69465.2
1729065600000,2606.29,2642.13,2604.24,2629.44,138770.19
1729080000000,2629.44,2647.44,2592.94,2606.49,232283.5
1729094400000,2606.49,2627.4,2590.01,2613.5,80844.28
1729108800000,2613.5,2626.92,2607.14,2610.12,38987.25
1729123200000,2610.12,2644.77,2609.0,2640.1,75368.16
1729137600000,2640.1,2647.84,2618.07,2627.59,75301.9
1729152000000,2627.59,2629.87,2595.0,2596.6,89563.08
1729166400000,2596.6,2632.46,2581.8,2630.15,195707.93
1729180800000,2630.15,2630.72,2573.54,2594.39,176156.57
1729195200000,2594.39,2614.46,2593.2,2604.82,45962.09
1729209600000,2604.82,2651.3,2595.15,2608.91,131182.84
1729224000000,2608.91,2645.18,2608.0,2643.86,96906.49
1729238400000,2643.86,2650.0,2620.0,2621.2,89366.15
1729252800000,2621.2,2664.0,2611.0,2652.2,218635.19
1729267200000,2652.2,2675.99,2628.65,2650.65,149407.12
1729281600000,2650.65,2651.4,2632.35,2641.58,55843.06
1729296000000,2641.58,2663.15,2634.3,2645.95,44085.98
1729310400000,2645.95,2650.2,2636.99,2640.29,35675.57
1729324800000,2640.29,2648.34,2630.36,2630.84,35939.21
1729339200000,2630.84,2654.0,2630.4,2645.3,45559.97
1729353600000,2645.3,2647.0,2636.08,2641.13,24392.71
1729368000000,2641.13,2655.58,2640.58,2648.18,24031.24
1729382400000,2648.18,2653.33,2635.0,2640.05,22883.46
1729396800000,2640.05,2651.89,2637.94,2645.89,23080.54
1729411200000,2645.89,2651.49,2642.64,2649.3,23340.66
1729425600000,2649.3,2720.3,2641.34,2706.35,220499.39
1729440000000,2706.35,2709.98,2686.01,2699.65,65483.4
1729454400000,2699.65,2760.5,2696.61,2747.16,353054.47
1729468800000,2747.16,2770.67,2726.25,2734.53,129841.2
1729483200000,2734.53,2745.38,2722.16,2722.72,70927.96
1729497600000,2722.72,2730.14,2701.33,2705.01,103826.12
1729512000000,2705.01,2711.6,2658.49,2680.17,270907.58
1729526400000,2680.17,2684.98,2655.2,2679.95,115849.53
1729540800000,2679.95,2683.99,2664.73,2666.25,54698.01
1729555200000,2666.25,2671.51,2610.53,2644.33,209763.76
1729569600000,2644.33,2659.91,2634.58,2646.53,66019.06
1729584000000,2646.53,2649.09,2612.22,2632.37,147376.24
1729598400000,2632.37,2645.24,2605.37,2624.0,265260.32
1729612800000,2624.0,2633.32,2606.0,2627.39,95271.28
