time,open,high,low,close,volume,supertrend,upperband,lowerband,rsi,adx,pdi,mdi,macd,macd_signal,macd_hist
2023-01-01 00:00:00,16549.5,16577.5,16524.0,16553.0,3395.495,,,,,0.0,0.0,0.0,,,
2023-01-01 04:00:00,16553.0,16560.0,16511.0,16537.5,3838.745,,,,,0.0,0.0,0.0,,,
2023-01-01 08:00:00,16537.5,16569.0,16519.0,16568.5,3559.729,,,,,0.0,0.0,0.0,,,
2023-01-01 12:00:00,16568.5,16582.0,16550.5,16574.0,3960.76,,,,,0.0,0.0,0.0,,,
2023-01-01 16:00:00,16574.0,16631.0,16569.5,16608.0,6533.613,,,,,0.0,0.0,0.0,,,
2023-01-01 20:00:00,16608.0,16630.5,16587.0,16622.5,3654.674,,,,,0.0,0.0,0.0,,,
2023-01-02 00:00:00,16622.5,16709.5,16552.0,16664.5,11394.485,,,,,0.0,0.0,0.0,,,
2023-01-02 04:00:00,16664.5,16774.0,16623.0,16717.5,14688.795,,,,,0.0,0.0,0.0,,,
2023-01-02 08:00:00,16717.5,16768.5,16702.0,16731.0,10569.497,,,,,0.0,0.0,0.0,,,
2023-01-02 12:00:00,16731.0,16749.5,16666.0,16731.5,10661.942,,,,,0.0,0.0,0.0,,,
2023-01-02 16:00:00,16731.5,16736.5,16700.5,16734.5,4891.669,16499.5,,16499.5,,0.0,0.0,0.0,,,
2023-01-02 20:00:00,16734.5,16799.0,16651.0,16668.0,12638.519,16499.5,,16499.5,,0.0,0.0,0.0,,,
2023-01-03 00:00:00,16668.0,16703.5,16644.5,16691.0,8022.639,16499.5,,16499.5,,0.0,0.0,0.0,,,
2023-01-03 04:00:00,16691.0,16774.0,16684.0,16726.0,11144.22,16499.5,,16499.5,72.65035020361059,0.0,0.0,0.0,,,
2023-01-03 08:00:00,16726.0,16750.0,16693.0,16715.5,6898.938,16499.5,,16499.5,69.28696250230593,0.0,0.0,0.0,,,
