time,open,high,low,close,volume,turnover,supertrend,upper_band,lower_band,rsi,blue(macd),red(macd_signal),green(macd_hist),blue(adx),green(pdi),red(mdi),vwma14,vwma7,blue(obv_sma5),red(obv_sma10)
1.71708E+12,68558.9,69560,68405.6,68677.5,20168.083,1392217399.8013,,,,,,,,,,,,,,
1.7171E+12,68677.5,68687.7,68023.8,68371.8,9388.201,641664188.7254,,,,,,,,,,,,,,
1.71711E+12,68371.8,68740.1,68290,68534.7,5290.446,362458340.3353,,,,,,,,,,,,,,
1.71713E+12,68534.7,68650,68080.1,68187.2,6006.222,410465102.7911,,,,,,,,,,,,,,
1.71714E+12,68187.2,68486.4,67876,68370.3,9343.5,637009623.3364,,,,,,,,,,,,,,
1.71716E+12,68370.3,69077,67200.9,67226.7,33570.784,2285942524.6115,,,,,,,,,,,,,-11736.3342,
1.71717E+12,67226.7,68072.5,66660,67705.9,23150.193,1556908162.7523,,,,,,,,,,,,67923.29328,-12094.9076,
1.71719E+12,67705.9,67827.2,67246,67555.8,6809.686,460016698.1324,,,,,,,,,,,,67733.9645,-14873.5074,
1.7172E+12,67555.8,67780.2,67456.9,67742.7,3888.095,263006732.691,,,,,,,,,,,,67666.34883,-15673.2438,
1.71721E+12,67742.7,67845,67600,67656,3373.218,228396165.5974,,,,,,,,,,,,67612.61325,-19016.3238,
1.71723E+12,67656,67797.7,67647.2,67697.7,2348.326,159030311.5734,69787.32,69787.32,,,,,,,,,,67573.196,-15175.5818,-13455.958
1.71724E+12,67697.7,67913.5,67673.5,67708.9,3990.155,270548844.1164,69723.883,69723.883,,,,,,,,,,67483.656,-15166.8474,-13630.8775
1.71726E+12,67708.9,67851,67563.9,67777.7,2800.73,189626472.1435,69530.9247,69530.9247,,,,,,,,,,67687.48841,-13236.0298,-14054.7686
1.71727E+12,67777.7,67942,67736.8,67792.8,1510.268,102409948.2176,69530.9247,69530.9247,,,,,,,,,67876.98145,67676.68023,-11780.7776,-13727.0107
1.71729E+12,67792.8,67940.5,67670,67816.1,2336.827,158459458.1593,69418.818507,69418.818507,,36.56497598,,,,,4.108703095,27.74896331,67733.8686,67733.42549,-9183.5164,-14099.9201
1.7173E+12,67816.1,67900.1,67730,67730,1552.97,105301527.5314,69318.2916563,69318.2916563,,35.53711684,,,,,4.015424875,27.11898985,67677.2964,67731.11537,-7366.5144,-11271.0481
1.71732E+12,67730,68342.4,67374.5,68260,8395.559,569365296.4752,69318.2916563,69318.2916563,,45.6627731,,,,,9.105920051,23.80698644,67680.56085,67935.76749,-4668.4316,-9917.6395
1.71733E+12,68260,68498.6,67801.3,68138,12954.95,882618958.6442,69318.2916563,69318.2916563,,43.95136165,,,,,10.25660363,21.74645347,67705.40987,68030.54489,-5121.4848,-9178.7573
1.71734E+12,68138,68198,67279.7,67740.1,10998.092,744834092.9332,69318.2916563,69318.2916563,,38.8386108,,,,,9.135244048,25.57894184,67655.86124,67983.41899,-8076.21,-9928.4938
1.71736E+12,67740.1,68009.5,67569.7,67776.3,3466.244,235078611.9951,69318.2916563,69318.2916563,,39.52782968,,,,,8.647611357,24.21355651,67825.14125,67979.97942,-10805.0518,-9994.2841
1.71737E+12,67776.3,68824.9,67621.5,68399.7,12072.347,825351729.5965,69318.2916563,69318.2916563,,49.98119338,,,,,16.68162161,20.92256311,67951.90009,68083.30145,-10808.8302,-9087.6723
1.71739E+12,68399.7,69259.6,68301,68921.8,13646.65,940189817.0153,69318.2916563,69318.2916563,,56.72774183,,,,,19.67490783,18.73782355,68143.096,68274.57914,-9762.3904,-7215.411
1.7174E+12,68921.8,69375.3,68868.9,69111.9,10140.914,700907409.3959,69318.2916563,69318.2916563,,58.90138671,,,,,19.85281148,17.68711391,68270.13791,68404.84696,-4096.7778,-4609.1313
1.71742E+12,69111.9,70344.1,68556,69658.3,38238.017,2656910082.0272,67145.1636005708,,67145.1636005708,64.43176243,,,,,25.88600209,14.57854475,68713.29804,68888.95825,11416.0566,1669.9233
1.71743E+12,69658.3,69759.2,68821,69253.5,12330.283,853860508.7731,67145.1636005708,,67145.1636005708,58.1850258,,,,,23.54750532,13.26154417,68780.58607,69029.93526,23769.5856,6482.2669
1.71744E+12,69253.5,69547.8,68749.9,68837,7751.044,535733104.8709,67145.1636005708,,67145.1636005708,52.54074517,463.2013051,,,,21.74809299,12.92908352,68814.69341,69159.89801,32158.4364,10674.8031
1.71746E+12,68837,69418.4,68668,69201,5594.258,386475500.0119,67145.1636005708,,67145.1636005708,56.51124685,473.4838131,,,,20.18580562,12.78434165,68850.62144,69210.27033,38936.8088,14587.2092
1.71747E+12,69201,69336.7,68807.6,69061.1,6372.81,440185409.0879,67145.1636005708,,67145.1636005708,54.6198781,464.9839682,,,33.53018865,19.14168762,12.12306702,68870.7717,69304.18421,42412.4364,19157.8293
1.71749E+12,69061.1,69252.3,68604.9,69004,9548.458,657830068.5675,67145.1636005708,,67145.1636005708,53.82801022,448.4705972,,,32.17981756,17.92026084,13.34737163,68895.18465,69330.32421,36330.769,23873.4128
1.7175E+12,69004,70544.9,68882,70485.9,30429.212,2123077544.0017,67193.2048006259,,67193.2048006259,67.14205186,548.6362398,,,32.78571812,26.89360595,11.34490143,69171.17691,69669.31295,38801.0006,31285.2931
1.71752E+12,70485.9,71110,70101,70448.1,24016.877,1697499799.759,68034.5793205633,,68034.5793205633,66.61438849,617.8459458,,,33.88050471,29.49281414,10.33200586,69365.13072,69868.44414,38018.0656,35088.251
